Country,AverageTemperature
Afghanistan,14.05279633
Africa,24.07420275
Aland,5.444263238
Albania,12.72083809
Algeria,23.09924898
American Samoa,26.61196501
Andorra,11.30046436
Angola,21.82454919
Anguilla,26.62868635
Antigua And Barbuda,26.45641752
Argentina,14.62119421
Armenia,8.714041752
Aruba,27.93862067
Asia,7.440629837
Australia,21.62469689
Austria,6.308703666
Azerbaijan,11.33862424
Bahamas,25.18076336
Bahrain,25.95423574
Baker Island,25.38014323
Bangladesh,24.94226998
Barbados,26.47716599
Belarus,5.957342668
Belgium,9.605635947
Belize,25.1118626
Benin,27.17603547
Bhutan,11.90617831
Bolivia,20.87723053
"Bonaire, Saint Eustatius And Saba",27.19183147
Bosnia And Herzegovina,10.51368279
Botswana,21.87929669
Brazil,24.76149109
British Virgin Islands,26.35396997
Bulgaria,10.60337882
Burkina Faso,28.08706696
Burma,23.78759447
Burundi,20.07099013
Cambodia,26.6869319
Cameroon,24.35258559
Canada,-5.036582188
Cape Verde,24.18911667
Cayman Islands,26.77666361
Central African Republic,25.28040692
Chad,27.12046628
Chile,9.383473684
China,6.675656823
Christmas Island,25.79264849
Colombia,24.73051884
Comoros,25.71448128
Congo,24.46293199
Congo (Democratic Republic Of The),23.77366494
Costa Rica,25.61578443
Cote D'Ivoire,25.9521533
Croatia,11.43201375
Cuba,25.45765954
Curaçao,27.37162576
Cyprus,18.91282587
Czech Republic,7.736386456
Denmark,-17.98126527
Denmark (Europe),7.972721487
Djibouti,28.81660253
Dominica,26.12904481
Dominican Republic,25.59996081
Ecuador,21.86997035
Egypt,22.74535387
El Salvador,24.95268906
Equatorial Guinea,24.92167781
Eritrea,26.80265311
Estonia,4.990184827
Ethiopia,23.01235676
Europe,7.958247454
Falkland Islands (Islas Malvinas),6.076773493
Faroe Islands,6.763843177
Federated States Of Micronesia,26.94435777
Fiji,25.03867178
Finland,1.418817719
France,12.88611864
France (Europe),10.52051273
French Guiana,25.73501176
French Polynesia,26.10709612
French Southern And Antarctic Lands,4.983111111
Gabon,24.25472565
Gambia,27.54206129
Gaza Strip,19.34404532
Georgia,8.269629328
Germany,8.274791752
Ghana,26.71501308
Greece,14.90015784
Greenland,-18.51531314
Grenada,26.75990224
Guadeloupe,26.34821385
Guam,26.99683434
Guatemala,23.17349618
Guernsey,11.04391599
Guinea,25.45589301
Guinea Bissau,26.76491501
Guyana,25.94827249
Haiti,26.34749924
Heard Island And Mcdonald Islands,2.562114943
Honduras,24.75383359
Hong Kong,22.69405855
Hungary,9.810032077
Iceland,1.563264766
India,23.99975712
Indonesia,25.6927284
Iran,17.6527831
Iraq,21.89285132
Ireland,9.557993381
Isle Of Man,9.500551426
Israel,19.76795825
Italy,12.839139
Jamaica,26.15106972
Japan,11.97749949
Jersey,11.04391599
Jordan,19.49298523
Kazakhstan,5.332643585
Kenya,24.10242823
Kingman Reef,27.13303444
Kiribati,26.73686535
Kuwait,25.14230601
Kyrgyzstan,3.296855906
Laos,23.65273272
Latvia,5.474924134
Lebanon,17.78782994
Lesotho,13.72668179
Liberia,25.38127923
Libya,22.39083299
Liechtenstein,4.746958758
Lithuania,6.046130855
Luxembourg,9.284889511
Macau,22.4525331
Macedonia,10.48845316
Madagascar,22.76521272
Malawi,21.43108614
Malaysia,25.83545041
Mali,28.44535906
Malta,18.60399542
Martinique,26.12904481
Mauritania,27.62350541
Mauritius,23.54082896
Mayotte,26.35087403
Mexico,20.63037863
Moldova,9.060289206
Monaco,9.12165835
Mongolia,-0.725644603
Montenegro,10.31751527
Montserrat,26.40170621
Morocco,17.7307169
Mozambique,23.59619476
Namibia,20.4844952
Nepal,14.94036572
Netherlands,9.634174134
Netherlands (Europe),9.241696029
New Caledonia,22.70010819
New Zealand,10.37123911
Nicaragua,26.00338677
Niger,27.45626337
Nigeria,26.74470831
Niue,25.09487845
North America,2.209586768
North Korea,6.781834012
Northern Mariana Islands,26.99683434
Norway,0.253856925
Oceania,21.45298912
Oman,26.93416528
Pakistan,20.66743919
Palau,27.21637933
Palestina,23.13632933
Palmyra Atoll,27.16345599
Panama,26.29526127
Papua New Guinea,24.4508019
Paraguay,23.28980789
Peru,19.93597423
Philippines,26.44047249
Poland,7.581949593
Portugal,14.79435845
Puerto Rico,25.46825547
Qatar,26.82291446
Reunion,23.31811049
Romania,8.872017821
Russia,-5.395557026
Rwanda,19.24442218
Saint Barthelemy,26.62868635
Saint Kitts And Nevis,25.87042006
Saint Lucia,26.66535642
Saint Martin,26.62868635
Saint Pierre And Miquelon,4.466251399
Saint Vincent And The Grenadines,26.80771487
Samoa,26.33186249
San Marino,13.92720316
Sao Tome And Principe,25.79438617
Saudi Arabia,25.5688645
Senegal,27.97087097
Serbia,10.08544094
Seychelles,26.74490553
Sierra Leone,26.02609867
Singapore,26.5530532
Sint Maarten,26.62868635
Slovakia,7.625713849
Slovenia,9.750869145
Solomon Islands,26.62503699
Somalia,26.87708517
South Africa,17.27098292
South America,21.82392008
South Georgia And The South Sandwich Isla,1.401025102
South Korea,11.87413238
Spain,13.72006365
Sri Lanka,27.06731383
Sudan,27.09335943
Suriname,26.18912219
Svalbard And Jan Mayen,-7.331602851
Swaziland,18.83980726
Sweden,2.544753564
Switzerland,7.093759165
Syria,18.08056314
Taiwan,21.96774108
Tajikistan,4.079850815
Tanzania,22.34791097
Thailand,26.07481669
Timor Leste,25.96633272
Togo,26.87580011
Tonga,23.23624785
Trinidad And Tobago,26.13641599
Tunisia,20.08421436
Turkey,11.76430601
Turkmenistan,14.88476324
Turks And Caicas Islands,26.71998779
Uganda,23.03296871
Ukraine,7.798253055
United Arab Emirates,27.72209632
United Kingdom,8.623923116
United Kingdom (Europe),8.789069246
United States,8.771299746
Uruguay,17.20110707
Uzbekistan,12.3823498
Venezuela,25.04190122
Vietnam,23.72147107
Virgin Islands,26.35396997
Western Sahara,22.43193483
Yemen,26.25359673
Zambia,21.28295562
Zimbabwe,21.11754725